,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
247,Rhode Island,2019,30.0,34.4,33.9,1.7,17.7,33.0,32.3,12.8,4.3,83.0,17.0,83.8,9.3,3.6,2.7,,12.3,87.7,61.0,25.1,13.9,64.3,35.7,79.6,20.4,49.9,50.1,24.1,75.9,36.1,63.9,73.5,26.5
248,Rhode Island,2020,30.1,34.5,33.7,1.7,23.0,35.0,29.6,9.6,2.7,87.7,12.3,83.8,9.5,3.4,3.1,,10.3,89.7,61.7,25.1,13.3,,,,,,,,,,,76.5,23.5
249,Rhode Island,2021,30.1,36.2,31.9,1.8,19.4,36.5,30.2,10.7,3.2,86.1,13.9,81.0,11.6,5.0,2.1,,11.9,88.1,59.4,26.3,14.3,65.1,34.9,80.6,19.4,,,,,,,75.8,24.2
250,South Carolina,2015,31.7,34.5,32.0,1.8,18.7,33.0,30.3,12.2,5.7,82.0,18.0,67.6,13.6,8.7,9.0,1.1,11.9,88.1,,,,52.9,47.1,74.6,25.4,50.5,49.5,19.7,80.3,29.4,70.6,73.3,26.7
251,South Carolina,2016,32.3,35.1,30.7,1.9,18.0,31.9,30.1,14.0,6.0,80.0,20.0,67.8,13.7,8.1,9.0,1.4,12.9,87.1,,,,,,,,,,,,,,73.1,26.9
252,South Carolina,2017,34.1,34.0,30.4,1.5,18.9,31.0,30.8,13.3,6.0,80.7,19.3,68.8,12.9,8.0,9.2,1.0,12.6,87.4,,,,59.4,40.6,82.0,18.0,48.6,51.4,18.8,81.2,27.4,72.6,71.6,28.4
253,South Carolina,2018,34.3,35.4,28.4,1.9,17.6,31.6,32.0,12.6,6.3,81.1,18.9,77.5,9.6,6.3,5.9,0.7,13.7,86.3,,,,,,,,,,,,,,73.3,26.7
254,South Carolina,2019,35.4,33.9,28.7,2.0,15.7,32.7,32.8,13.7,5.2,81.1,18.9,79.5,9.9,4.9,5.2,,13.2,86.8,61.3,25.6,13.0,56.8,43.2,81.3,18.7,46.9,53.1,23.0,77.0,38.2,61.8,71.2,28.8
255,South Carolina,2020,36.2,33.3,28.4,2.1,18.7,33.7,30.5,11.7,5.4,82.9,17.1,79.1,9.9,5.1,5.4,0.5,13.9,86.1,62.5,22.8,14.7,,,,,,,,,,,73.4,26.6
256,South Carolina,2021,36.1,34.4,27.7,1.8,18.7,32.2,31.9,12.7,4.5,82.8,17.2,78.2,10.8,5.2,5.4,0.4,13.1,86.9,59.0,24.3,16.7,58.0,42.0,79.7,20.3,,,,,,,75.0,25.0
